cName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,Locationx,Locationy,Type
Total,41242,42391,45051,45060,47161,52799,59778,65479,71483,77840,,,total
Canada,7678,8334,9225,9909,10592,11105,12666,12938,13566,14855,127.66,64.64,total
EU-15,7142,7619,7937,7752,8314,9899,11676,12838,13641,14518,291.82,112.35,total
Mexico,4947,4961,5112,5336,5398,6007,6825,8000,9209,9943,117.76,159.56,total
Thailand,1836,1987,2225,2230,1928,2017,2014,2296,2563,2796,456.42,178.46,total
Brazil,1159,1369,1249,985,1047,1470,1557,1796,2092,2390,202.93,225.05,total
Total,1438.4,1303.2,1279,1113.5,1148.6,1396.6,2026.6,2124.3,2550.3,2910,,,oil
Canada,396.8,371.5,308.5,276,295.5,343.9,479,417.2,546.7,702.1,127.66,64.64,oil
Italy,259.3,238.3,311.1,290.6,303.8,367.6,485.7,553.5,632.5,608,309,123.88,oil
Malaysia,141.4,160.5,137.9,112.4,111,180.6,257.4,288.1,369.9,578.2,469.18,193.73,oil
Philippines,307,189.8,182.7,159.5,136.7,140.6,175.3,202.2,220.8,233.2,490.14,178.78,oil
Spain,51,58,65.2,53,83.5,88.2,125.4,137.5,176.1,166.5,276.69,135.95,oil
Total,778.2,985.8,964.1,961.1,1063.6,1069,1303.4,1411.6,1437.5,1491.6,,,dairy
Italy,132,149.7,147.4,158.6,174.6,177.9,226.2,232.3,224.9,284.9,309,123.88,dairy
France,68.4,87.7,74.7,69.8,86.1,104.2,129.2,133.6,131.2,144.6,291.82,112.35,dairy
Canada,50.1,88.4,66.4,77.5,79.6,71.1,104.2,109.9,102.4,104.9,127.66,64.64,dairy
Netherlands,35.9,46.2,53.8,45.3,46.6,55.1,62.1,65.9,68.1,72.7,296.93,96.95,dairy
Australia,33.2,40.4,45.9,38.1,30.2,22.1,36.6,40.5,74,65.1,513.79,257.77,dairy
Total,1171,1101,1045.9,1123.4,1273.6,1261.3,1244.8,1282,1615.7,2234.8,,,grains
Canada,749.5,703,644.1,717.9,875.5,729.6,779.7,835.7,1045.6,1469.2,127.66,64.64,grains
Chile,128.9,122.6,121.9,115.1,97,126.7,158,156.9,171.4,223.7,142.36,268.21,grains
Mexico,25.8,26.4,26.1,34.8,24.5,31.6,43.5,45.5,43.9,122.8,117.76,159.56,grains
Italy,38.6,40.3,41.8,40.4,38.9,41.4,39.3,45,59.3,74,309,123.88,grains
